Name,Count
丈夫,79
回到,79
手上,79
玉女心经,79
叫我,78
大师,78
被他,78
心意,78
无人,78
阳城,78
定要,78
岂知,78
就不,78
打得,78
背心,77
怎样,77
我爹,77
瞧着,77
发出,77
已将,77
大惊,77
第一,76
何处,76
大侠,76
避开,76
之力,76
伤心,76
妻子,76
进来,76
一见,76
几句,76
腰间,76
地里,76
在身,75
她不,75
那也,75
哈哈,75
师弟,75
而出,75
向来,75
何必,75
她是,75
两名,75
师姊,75
小心,75
湖上,75
就算,74
若非,74
西山,74
不对,74
本事,74
哈哈大笑,74
啊哟,74
识得,74
面前,74
郭大侠,74
时辰,74
这儿,73
高台,73
山一,73
多时,73
不许,73
大厅,73
向她,73
有如,73
不知道,72
一名,72
道姑,72
初时,72
暗中,72
报仇,72
中原,72
七八,72
而去,72
王重阳,72
在旁,72
当日,71
施展,71
罢了,71
一句,71
好了,71
确是,71
不多,71
然而,71
只因,71
危急,71
也无,71
又想,71
人家,71
起了,71
脚步,71
不少,71
胡子,71
待我,70
相救,70
当时,70
并非,70
中有,70
竹棒,70
对手,70
要你,70
到她,70
人物,70
叫他,70
指点,70
虽是,69
低头,69
心头,69
那时,69
实在,69
明明,69
剧毒,69
在下,69
到此,69
鲁有脚,69
疼痛,68
纷纷,68
一位,68
这小子,68
冷冷,68
铁掌,68
吓得,67
掌法,67
这人,67
从未,67
转过,67
倒也,67
大为,67
真的,67
第二,67
忽地,66
眼光,66
张君宝,66
情势,66
她说,66
人见,66
相见,66
不明,66
抵挡,66
先前,66
一柄,66
得不,66
都不,66
小龙,66
大有,66
到底,66
暗想,65
耶律,65
小小,65
得罪,65
下不,65
寻思,65
练功,65
父母,65
年来,65
抱住,65
有些,65
兀自,65
阵法,65
小道,64
女郎,64
武士,64
害怕,64
剑尖,64
目光,64
均是,64
用力,64
武艺,64
空中,64
不便,64
正在,64
人心,64
全是,63
大家,63
下手,63
不论,63
害死,63
固然,63
大哥哥,63
一把,63
听见,63
无礼,63
虽不,63
何不,62
丹药,62
铁杖,62
上乘,62
跃上,62
可惜,62
城头,62
那大,62
相交,62
王道,62
担心,62
为了,62
衣衫,62
已有,61
相助,61
自幼,61
悄悄,61
道长,61
逃走,61
就此,61
生死,61
也就,61
石室,61
奔出,61
心神,61
举起,60
行事,60
力气,60
要将,60
相距,60
有的,60
断了,60
之情,60
而死,60
接过,60
最后,60
眼睛,60
小姑娘,60
一旁,60
才是,60
走近,60
左臂,60
转念,59
不必,59
过头,59
北斗,59
什么,59
对付,59
不说,59
右臂,59
多谢,59
不自禁,59
觉远,59
玉女,59
老者,59
在一起,59
魔头,58
拉着,58
料想,58
剪刀,58
出言,58
山洞,58
传授,58
老前辈,58
厉声,58
丝毫不,58
说是,58
佩服,58
教你,58
得意,58
了点,58
不易,58
回去,58
所在,58
大头鬼,58
全无,58
倒在,58
畜生,58
双目,58
变化,58
伤势,57
决计,57
暗自,57
重重,57
救了,57
多了,57
盟主,57
自行,57
得有,57
竟有,57
但她,57
决不能,57
门下,57
鹿清笃,57
不致,57
不懂,57
少妇,57
师徒,57
矮子,56
越来越,56
人手,56
威力,56
一口气,56
儿子,56
句话,56
寒玉,56
向左,56
倒是,56
两步,56
却见,56
翻身,56
伏在,56
理会,56
二十,56
一场,56
要害,56
发作,56
屋顶,55
打死,55
你好,55
别说,55
已被,55
身在,55
再来,55
尚有,55
身形,55
要他,55
却不知,55
干甚么,55
人武,55
已经,55
天竺僧,55
床上,55
凌厉,55
半空,55
美貌,55
岛主,55
大树,54
要是,54
纵声,54
忽见,54
蓦地,54
大石,54
一顿,54
带着,54
手下,54
正好,54
身受,54
险些,54
使出,54
跃出,54
这两个,54
凝神,54
喜欢,54
大吃一惊,54
露出,54
打了,54
手足,54
抱着,53
也要,53
十年,53
武三娘,53
剧痛,53
那日,53
一转,53
说起,53
呆呆,53
不在,53
原是,53
招之,53
毫不,53
牢牢,53
去找,53
不久,53
躲在,53
清楚,53
百姓,53
而来,53
孙不二,53
这话,52
要紧,52
摔倒,52
在后,52
第三,52
脱手,52
岂能,52
不要,52
前面,52
传来,52
大大,52
中间,52
而行,52
迅捷,52
林朝英,52
不怕,52
用意,52
走进,52
怎生,52
一指,52
放下,52
明知,52
那个,52
不来,52
飞出,52
一挥,52
大事,52
一对,52
大军,52
义父,51
