Name,Count
急忙,83
随即,83
一路,83
微微一笑,83
名字,83
生怕,82
最后,82
船上,82
卫璧,82
一生,82
年来,82
解药,81
相救,81
回头,81
孩儿,81
中间,81
句话,81
是不是,81
等人,81
报仇,81
向前,81
一起,81
一张,81
一根,81
顶上,80
大家,80
受了,80
有的,80
均是,80
又想,80
不少,80
了得,80
到底,80
不免,79
这一招,79
要你,79
多少,79
颇有,79
进来,79
回到,79
自然,79
一句,78
一日,78
渐渐,78
渡厄,78
小姐,78
瞧着,78
所在,78
上来,78
正要,78
有些,78
叹道,78
是否,78
汝阳,78
时辰,78
不成,77
背心,77
几下,77
多了,77
良久,77
尽数,77
啊哟,77
个个,77
这一下,77
说不定,77
恩师,76
张君宝,76
将她,76
头上,76
师兄弟,76
我爹,76
而出,76
一只,76
暗想,75
晚辈,75
心头,75
人手,75
第一,75
何处,75
不论,75
很好,75
韩林儿,75
生平,75
回来,75
前来,74
暗器,74
又不,74
便有,74
走出,74
说是,74
不好,74
不料,74
门下,74
不如,74
当日,73
得多,73
请你,73
倒是,73
向来,73
数十,73
就此,73
向后,73
这件,73
下落,73
一件,72
欢喜,72
阴毒,72
但他,72
蓦地,72
不在,72
几个,72
得不,72
眼睛,72
武当七侠,72
殷野王,72
手上,72
定是,72
金花,72
叫我,71
六人,71
却已,71
在这里,71
身分,70
入了,70
一切,70
上山,70
华山派,70
各派,70
她说,70
听她,70
也好,70
回去,70
头顶,70
指着,70
双目,70
寻常,70
好好,70
双方,69
望着,69
一口气,69
越是,69
身受,69
然而,69
留下,69
一柄,69
也有,69
隐隐,69
就是,69
腰间,69
倒在,69
伤势,68
金刚,68
十二,68
掌门人,68
一个人,68
另有,68
岂知,68
高老者,68
掌棒龙头,68
露出,68
小心,68
这儿,67
抱着,67
这句,67
五弟,67
实在,67
师妹,67
不信,67
大伙儿,67
剑尖,67
丝毫不,67
一晃,67
料到,67
干甚么,67
打了,67
见过,67
惊呼,66
伤了,66
心意,66
好生,66
一旁,66
一把,66
到此,66
其余,66
简捷,66
待我,65
相助,65
左右,65
万安,65
对付,65
而已,65
毒手,65
原是,65
大门,65
一见,65
手法,65
指点,65
打死,64
朋友,64
常金鹏,64
门外,64
说不出,64
都不,64
小子,64
不久,64
走近,64
师姊,64
毒药,64
为难,64
感激,64
行事,63
料想,63
吩咐,63
已被,63
同门,63
佩服,63
她是,63
打得,63
古怪,63
衣衫,63
白龟寿,63
禅师,63
丝毫,63
面前,63
阁下,62
别说,62
眼光,62
鲜于通,62
个字,62
率领,62
达摩,62
相貌,62
渡难,62
大汉,62
脚下,62
一场,62
第二,62
人心,62
何不,61
和我,61
岂能,61
左掌,61
恶贼,61
罗汉,61
数日,61
之力,61
定要,61
已将,61
大都,61
大吃一惊,61
眼中,61
师太,61
朱元璋,61
现下,60
虽是,60
一句话,60
好手,60
带着,60
母亲,60
世上,60
传来,60
并非,60
小弟,60
不明,60
不说,60
下不,60
将我,60
倒也,60
想不到,60
不便,60
遇上,60
不去,60
不知道,59
落在,59
情景,59
个人,59
到得,59
不要,59
尚有,59
松树,59
男子,59
转头,59
这次,59
之言,59
不理,59
罢了,58
光明,58
一顿,58
是非,58
练成,58
相距,58
可不,58
围攻,58
之一,58
转过,58
而起,58
何等,58
发作,58
有如,58
已有,57
身边,57
一派,57
人见,57
竟会,57
妻子,57
本事,57
背后,57
詹春,57
一红,57
正在,57
嘿嘿,57
甚么事,57
叫他,57
联手,56
五行,56
身在,56
情势,56
可惜,56
心念,56
不许,56
属下,56
找到,56
走进,56
派人,56
表妹,56
既是,56
力道,56
使出,56
向西,56
伸出,56
只不过,56
要紧,55
施展,55
船头,55
既然,55
得知,55
明明,55
行礼,55
用力,55
阿三,55
叫你,55
担心,55
老衲,55
一挥,55
才是,55
一对,55
海中,55
也就,55
跃起,55
这一次,55
全是,54
双眼,54
走上,54
客店,54
吓得,54
二哥,54
若不是,54
是为了,54
纷纷,54
对手,54
不多,54
老道,54
眼下,54
接过,54
在船,54
一听,54
身法,54
十来,54
外公,54
摔倒,53
灵蛇,53
那时,53
终究,53
威力,53
摇了,53
余年,53
干么,53
太极拳,53
救了,53
中大,53
华山,53
一座,53
得很,53
错了,53
旁观,53
落入,53
问你,53
不致,53
脚步,53
也要,52
至于,52
解开,52
广场,52
大大,52
不对,52
似是,52
此后,52
哈哈大笑,52
冰山,52
犹如,52
人武,52
中所,52
不易,52
渡劫,52
百姓,52
伤口,52
拔出,52
蛇岛,52
越来越,51
阳顶天,51
尸身,51
人大,51
几声,51
已到,51
传功长老,51
从此,51
铁链,51
七弟,51
便可,51
自行,51
两步,51
徐达,51
掌旗,51
可以,51
小姑娘,51
比武,51
名门,51
便能,51
发出,51
明知,51
一看,51
数十年,51
快快,51
烈火,51
来啦,51
无礼,51
祖师,51
不死,51
在一起,51
四下,50
小兄弟,50
颇为,50
闪避,50
遇到,50
双臂,50
小腹,50
害怕,50
何能,50
蝴蝶谷,50
多时,50
重重,50
听说,50
将那,50
厉声,50
异常,50
回答,50
猛地,50
之情,50
火焰,50
话说,50
寻思,50
宗维侠,50
大为,50
不定,50
小船,50
叫作,50
在旁,50
魔头,49
上有,49
在身,49
头发,49
咳嗽,49
前面,49
规矩,49
杀人,49
时候,49
真经,49
要杀,49
不该,49
抵挡,49
那些,49
每人,49
以致,49
决不能,49
理会,49
喜欢,49
请教,49
忘了,49
叫了,49
上下,49
然后,48
和她,48
臂上,48
第三,48
无一,48
不停,48
被他,48
余人,48
至尊,48
年轻,48
变成,48
一身,48
一出,48
再来,48
姊姊,48
妹子,48
矮老者,48
来历,48
相交,48
目光,48
两下,48
从未,48
给人,48
没甚么,48
生死,48
半分,48
得到,48
短剑,47
颤声,47
低头,47
当世,47
武士,47
之内,47
桌上,47
必是,47
一闪,47
刀剑,47
