Name,Count
此事,68
亲兵,68
决不,68
啊哟,68
小子,68
就此,68
人手,67
在手,67
为甚么,67
人影,67
接过,67
都不,67
寻思,67
已将,67
札木合,67
光下,67
一直,67
一生,67
在一起,67
俯身,66
心头,66
蒙古人,66
那也,66
渐渐,66
避开,66
走出,66
而出,66
已经,66
得出,66
回去,66
经书,66
海中,66
倒在,66
觉得,65
闪避,65
反手,65
法子,65
可惜,65
似是,65
干甚么,65
冷冷,65
百姓,65
咱俩,65
为难,65
居然,64
叫我,64
低头,64
在身,64
那日,64
确是,64
明明,64
喝了,64
要他,64
得意,64
反而,64
王府,64
小人,64
左臂,64
看得,64
神情,63
左右,63
不要,63
将她,63
抬头,63
对手,63
后面,63
门口,63
圈子,63
喜欢,63
不懂,63
客店,62
顺手,62
若不,62
双臂,62
对付,62
以后,62
这一招,62
陈玄风,62
别人,62
尽数,62
教你,62
鲨鱼,62
几句,62
疼痛,61
鲜血,61
人人,61
内力,61
桌上,61
心里,61
重伤,61
当时,61
不信,61
走进,61
后心,61
最后,61
伏在,61
所在,61
无不,61
腰间,61
叹了,61
半点,61
教我,61
好笑,61
连连,61
一面,61
晚辈,60
上马,60
若不是,60
一顿,60
突然间,60
长剑,60
月光,60
身形,60
不说,60
岳飞,60
门外,60
凝神,60
走近,60
大吃一惊,60
叫了,60
大怒,59
伯伯,59
前来,59
不免,59
大漠,59
传授,59
军士,59
心念,59
之力,59
此刻,59
到她,59
却不知,59
得有,59
悬崖,59
隐隐,59
诧异,59
不少,59
上有,58
情势,58
悄悄,58
上乘,58
提起,58
纷纷,58
呆了,58
下不,58
找到,58
七八,58
大事,58
这件,58
丝毫,58
马上,57
瀑布,57
但他,57
老前辈,57
先前,57
陆乘风,57
危急,57
也有,57
王妃,57
招数,57
须得,57
人物,57
胖子,56
并无,56
大船,56
地方,56
终究,56
大师父,56
不在,56
牢牢,56
其实,56
一指,56
双目,56
黎生,55
实在,55
大石,55
好了,55
人见,55
另有,55
不料,55
想来,55
何必,55
落下,55
这就,55
又想,55
洪帮,55
女人,55
并未,55
遇上,55
脚步,55
已在,55
必定,55
做了,55
兀自,55
双眼,54
和我,54
欢喜,54
在哪,54
无比,54
朋友,54
四个,54
呆呆,54
暗中,54
也无,54
放下,54
全无,54
躲在,54
不来,54
指着,54
回到,54
聪明,54
忘了,54
第二,54
不去,54
在旁,54
全是,53
北斗,53
几下,53
一出,53
生平,53
转过,53
中所,53
拉住,53
博尔术,53
而来,53
怎会,53
六人,52
虽是,52
解开,52
必有,52
铁杖,52
要去,52
受了,52
一身,52
得罪,52
姊姊,52
主人,52
向左,52
傻小子,52
她在,52
右臂,52
佩服,52
看了,52
一位,52
轻功,52
毒蛇,52
何等,52
门下,52
中都,52
徒儿,51
这句,51
数日,51
不对,51
句话,51
不许,51
打在,51
先生,51
叫声,51
遗书,51
银子,51
件事,51
去找,51
一遍,51
坐下,51
思索,51
双腿,50
一句,50
筋斗,50
双方,50
传来,50
中间,50
再来,50
听说,50
并非,50
一半,50
武官,50
放心,50
一座,50
将来,50
输了,50
一柄,50
说不出,50
一旁,50
她是,50
一见,50
来势,50
听见,50
黄岛,49
人大,49
惊呼,49
定然,49
术赤,49
下手,49
西域,49
为人,49
厉声,49
心意,49
出神,49
小弟,49
松树,49
老儿,49
真人,49
都已,49
想不到,49
风声,49
永远,49
抱住,49
义兄,49
一刀,49
奔出,49
又见,48
拉着,48
手下,48
心要,48
暗叫,48
要杀,48
丝毫不,48
还没,48
绳索,48
满了,48
跃出,48
识得,48
动弹不得,48
转念,47
短剑,47
全然,47
上山,47
时见,47
害怕,47
只好,47
孩儿,47
贵妃,47
尚有,47
必能,47
不明,47
说是,47
男子,47
两步,47
拿了,47
又惊又喜,47
飞出,47
身法,47
大有,47
手法,47
有如,47
时分,47
水中,47
一交,46
好汉,46
日后,46
料想,46
衣服,46
还要,46
更无,46
敌手,46
她说,46
回答,46
等人,46
自行,46
接口,46
中原,46
向外,46
叫你,46
已知,46
大为,46
要想,46
嘉兴,46
王重阳,46
只不过,46
露出,46
人心,46
小心,46
寨主,46
这话,45
豹子,45
极为,45
连声,45
丛中,45
早就,45
吩咐,45
夫人,45
白骨,45
说起,45
正好,45
胡涂,45
怎生,45
定要,45
逃走,45
赶到,45
转了,45
和尚,45
不久,45
七人,45
一手,45
一对,45
回过头来,44
遇到,44
生怕,44
彭长老,44
帮帮,44
之心,44
相见,44
小丫头,44
心知,44
主意,44
多半,44
更不,44
力道,44
不易,44
相斗,44
无数,44
凌厉,44
半空,44
甚么事,44
得到,44
要紧,43
追赶,43
察看,43
待他,43
好啊,43
头发,43
进了,43
侧身,43
很好,43
相距,43
没了,43
断了,43
话说,43
小姑娘,43
意思,43
躬身,43
分别,43
快去,43
朗声,43
带了,43
接连,43
脱身,42
在你,42
行事,42
决计,42
着地,42
第一,42
呼呼,42
高人,42
下山,42
华山,42
眼下,42
马背,42
错了,42
己身,42
翻身,42
可要,42
法门,42
一团,42
运气,42
被她,42
变化,42
抱着,41
在后,41
待我,41
全力,41
一双,41
颇为,41
腿上,41
之内,41
之地,41
山峰,41
剧痛,41
当然,41
扶起,41
非同小可,41
磕头,41
次日,41
世上,41
一转,41
小小,41
呼叫,41
黑暗,41
此言,41
杀手,41
坐着,41
不妙,41
岩石,41
人武,41
一碗,41
练功,41
一头,41
道理,41
以为,41
打架,41
天下第一,41
性子,41
年来,41
是否,41
威名,40
衣襟,40
找寻,40
十年,40
无一,40
几声,40
已到,40
身在,40
使者,40
手相,40
多了,40
救人,40
倒是,40
之情,40
原是,40
给人,40
两声,40
望去,40
互相,40
船上,40
而起,40
饮酒,40
清楚,40
这两个,40
诸般,40
试试,40
晚上,40
老怪,40
妈妈,40
隔了,40
回身,40
还能,39
不让,39
该当,39
精神,39
颤声,39
和你,39
到来,39
之势,39
初时,39
又在,39
面目,39
不放,39
飞身,39
擒拿,39
心思,39
出门,39
目光,39
五指,39
不愿,39
脚下,39
修习,39
一脚,39
倒了,39
店小二,39
一一,39
正待,39
叫作,39
忙问,39
打死,38
半个,38
白衣,38
伤势,38
奔去,38
格格,38
感到,38
要将,38
迟疑,38
一拍,38
推开,38
大大,38
娘子,38
而行,38
练成,38
叔父,38
家伙,38
王子,38
紧紧,38
练了,38
欺侮,38
